"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,0,0,0,0
"2",2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,0,0,0,0
"3",2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,0,0,0,0
"4",2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,0,0,0,0,0
"5",2,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0
"6",2,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0
"7",2,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0
"8",2,1,1,1,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0
"9",2,1,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0
"10",2,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
"11",2,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
"12",2,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"13",2,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
