"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2",4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"3",4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,1,2
"4",4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,4,1,1,2
"5",4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,4,1,1,1,2
"6",4,4,4,4,1,1,1,1,0,0,0,0,0,0,4,1,1,1,1,2
"7",4,4,4,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,1,2
"8",4,4,4,4,1,1,1,1,1,0,0,0,4,1,1,1,1,1,1,2
"9",4,4,4,4,1,1,1,1,1,4,0,4,4,1,1,1,1,1,1,2
"10",4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,2
"11",4,4,4,4,4,1,1,1,1,4,0,0,4,1,1,1,1,1,1,2
"12",4,4,4,4,1,1,1,1,4,0,0,0,0,4,1,1,1,1,1,2
"13",4,4,4,4,1,1,1,4,0,0,0,0,0,0,0,4,1,1,1,2
"14",4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2
"15",4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"16",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"17",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"18",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"19",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"20",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
